"age.min";"age.max";"code_dep";"year";"all";"male";"female"
25;29;"12";2012;13331;6698;6633
25;29;"14";2012;40434;20007;20427
25;29;"36";2012;11009;5385;5624
25;29;"30";2012;36822;17807;19015
25;29;"2A";2012;7952;3923;4029
25;29;"09";2012;7310;3576;3734
25;29;"11";2012;17717;8714;9003
25;29;"72";2012;31561;15753;15808
25;29;"07";2012;15369;7658;7711
25;29;"15";2012;7213;3595;3618
25;29;"19";2012;11915;6150;5765
25;29;"2B";2012;10497;5420;5077
25;29;"973";2012;16390;7281;9109
25;29;"18";2012;15653;7888;7765
25;29;"21";2012;32624;16398;16226
25;29;"08";2012;15861;7884;7977
25;29;"13";2012;121368;59432;61936
25;29;"23";2012;5000;2554;2446
25;29;"17";2012;30052;15069;14983
25;29;"26";2012;26394;13069;13325
25;29;"16";2012;17931;8948;8983
25;29;"22";2012;28803;14420;14383
25;29;"24";2012;18431;9170;9261
25;29;"25";2012;35499;18108;17391
30;34;"37";2012;32409;16098;16311
30;34;"38";2012;75176;37425;37751
30;34;"61";2012;14829;7365;7464
30;34;"39";2012;14115;7005;7110
30;34;"44";2012;80170;40129;40041
30;34;"43";2012;12006;6003;6003
30;34;"45";2012;39440;19765;19675
30;34;"55";2012;11065;5795;5270
30;34;"47";2012;16242;8057;8185
30;34;"46";2012;8029;3893;4136
30;34;"40";2012;20335;9910;10425
30;34;"76";2012;72114;35802;36312
30;34;"73";2012;24965;12644;12321
30;34;"62";2012;87549;43145;44404
30;34;"74";2012;49217;24342;24875
30;34;"48";2012;4210;2072;2138
30;34;"63";2012;36361;18577;17784
30;34;"75";2012;194927;97638;97289
30;34;"77";2012;87639;42820;44819
30;34;"82";2012;13907;6793;7114
30;34;"84";2012;29912;14609;15303
30;34;"78";2012;91128;45341;45787
30;34;"41";2012;17272;8369;8903
30;34;"56";2012;39063;19560;19503
30;34;"79";2012;20276;10106;10170
30;34;"81";2012;19831;9815;10016
30;34;"83";2012;51332;25624;25708
30;34;"85";2012;36718;18669;18049
30;34;"87";2012;20684;10314;10370
30;34;"42";2012;41252;20954;20298
30;34;"57";2012;63846;32292;31554
30;34;"80";2012;33692;16760;16932
30;34;"02";2012;30271;15063;15208
30;34;"92";2012;126243;61615;64628
30;34;"86";2012;23997;11853;12144
30;34;"49";2012;46445;23226;23219
30;34;"64";2012;35709;17724;17985
30;34;"58";2012;10022;4881;5141
30;34;"60";2012;50763;25226;25537
30;34;"91";2012;79891;39912;39979
30;34;"93";2012;115233;56572;58661
30;34;"27";2012;35076;17275;17801
30;34;"50";2012;25766;12914;12852
30;34;"65";2012;11088;5509;5579
30;34;"59";2012;162454;80645;81809
30;34;"69";2012;115114;57629;57485
30;34;"04";2012;7813;3827;3986
30;34;"94";2012;97700;47659;50041
30;34;"88";2012;20332;10220;10112
30;34;"51";2012;33383;16895;16488
30;34;"66";2012;23692;11435;12257
30;34;"01";2012;36281;18017;18264
30;34;"03";2012;16793;8202;8591
30;34;"33";2012;89292;44444;44848
30;34;"95";2012;79735;38118;41617
